"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd_pledged"
"1",1463249433,"Eurocopter EC130 Walkaround Video","Documentary","Film & Video","USD",2014-07-01 06:00:00,700,2014-05-21 19:39:43,5,"failed",1,"US",5
"2",228849390,"Fantasy Vinyl Decal Stickers","Printing","Crafts","USD",2015-05-25 22:25:43,777,2015-04-25 22:25:43,120,"failed",8,"US",120
"3",150924429,"9 strikes comedy","Comedy","Film & Video","USD",2015-10-15 16:17:00,1200,2015-09-01 23:46:45,0,"failed",0,"US",0
"4",852997197,"Cascadia Threads: Eco-friendly, USA Made, Designed to Street","Apparel","Fashion","USD",2016-03-14 20:00:00,4100,2016-02-12 02:28:12,248,"failed",6,"US",248
"5",265755610,"Water = Life","Documentary","Film & Video","USD",2012-11-24 23:58:57,9500,2012-10-25 23:58:57,2026,"failed",24,"US",2026
"6",510874695,"My Travels : Just a Guy And His Camera.","Documentary","Film & Video","USD",2014-09-22 20:41:50,10000,2014-07-24 20:41:50,0,"failed",0,"US",0
"7",740179650,"Gifwrap - The world's first ever interactive gift wrap","Product Design","Design","USD",2015-12-09 19:28:40,10000,2015-11-09 19:28:40,67,"failed",6,"US",67
"8",1813230860,"My Brother's Keeper- Open World Indie Survival/Horror Game.","Video Games","Games","USD",2016-09-16 12:09:38,1000,2016-08-17 12:09:38,91,"failed",5,"US",10
"9",1404544029,"The Sinister Project","Hip-Hop","Music","USD",2012-08-31 19:31:37,1750,2012-07-17 19:31:37,561.2,"failed",11,"US",561.2
"10",1496399827,"RyanFinn Photography-  intelligent, creative and innovative","Photography","Photography","USD",2015-09-03 17:09:46,5000,2015-08-04 17:09:46,0,"failed",0,"US",0
"11",525833517,"Axxicorn War of the Giants on Vinyl!!!","Rock","Music","USD",2012-08-19 21:11:55,2000,2012-07-05 21:11:55,215,"failed",10,"US",215
"12",286631673,"The ScriptReaderGuide To Screenplay Analysis","Film & Video","Film & Video","USD",2016-03-08 01:35:39,57623,2016-02-07 01:35:39,0,"failed",0,"US",0
"13",1373446296,"Trua - Eco-Friendly and Vegan Footwear For A Better Earth!","Footwear","Fashion","USD",2014-11-13 21:51:25,15000,2014-10-14 21:51:25,1,"failed",1,"US",1
"14",2089137979,"Silicone Masks : Faces Behind the Mask","Journalism","Journalism","USD",2012-01-08 15:48:15,5000,2011-11-09 15:48:15,50,"failed",2,"US",50
"15",1399177247,"Who I Am!","Music","Music","USD",2014-05-24 12:49:17,10000,2014-04-24 12:49:17,635,"failed",7,"US",635
"16",1641777846,"""iAmWaltGully"" The PrOjeCt","Hip-Hop","Music","USD",2011-11-22 11:42:12,5000,2011-09-23 11:42:12,0,"failed",0,"US",0
"17",1100436133,"Lakota Riders in Prague","Photography","Photography","USD",2011-04-17 23:06:04,10000,2011-03-02 23:06:04,2023,"failed",34,"US",2023
"18",1131809021,"MicroLux Flashlight: a Better, Bright, Keychain Light!","Gadgets","Technology","USD",2016-11-20 00:26:56,75000,2016-10-14 00:26:56,764,"failed",23,"US",392
"19",827996119,"Transferred","Comedy","Film & Video","USD",2014-08-19 02:35:38,1000,2014-07-20 02:35:38,225,"failed",7,"US",225
"20",901305154,"The Chosen Few","Documentary","Film & Video","USD",2011-07-26 22:36:40,1000,2011-04-27 22:36:40,0,"failed",0,"US",0
"21",1299584821,"setting up a food truck","Food","Food","USD",2012-03-03 02:18:51,10000,2012-02-02 02:18:51,0,"failed",0,"US",0
"22",1601028129,"Skyline Summer - Help us finish recording and tour!","Indie Rock","Music","USD",2011-05-14 01:11:51,3500,2011-04-04 01:11:51,151.02,"failed",3,"US",151.02
"23",170088614,"Create the PreParty iPhone App for Android users.","Mobile Games","Games","USD",2014-08-23 04:56:00,6000,2014-07-29 19:27:07,40,"failed",2,"US",40
"24",2076057915,"Breathable workout clothes – FIU by uptown","Fashion","Fashion","USD",2013-11-15 19:04:53,150000,2013-10-01 19:04:53,75,"failed",2,"US",75
"25",298948550,"CUSTOM MADE DRUM STICKS JUST FOR U!! ""U"" STICKS","Product Design","Design","USD",2016-12-01 01:59:04,17000,2016-10-22 01:59:04,50,"failed",1,"US",50
"26",807701120,"CAPTIVATING SUSPENSE DRAMA- A MUST SEE","Film & Video","Film & Video","USD",2011-12-06 05:09:53,15000,2011-10-07 05:09:53,200,"failed",5,"US",200
"27",722649956,"Opening to Love~","Nonfiction","Publishing","USD",2012-12-15 20:11:00,67000,2012-11-16 04:54:14,120,"failed",3,"US",120
"28",920242269,"Everyday","Art Books","Publishing","USD",2015-02-20 10:40:07,15000,2015-01-16 10:40:07,1430,"failed",15,"US",1430
"29",871099124,"Ken Boyer Baseball Book Project","Nonfiction","Publishing","USD",2013-03-27 20:03:05,2500,2013-02-25 21:03:05,175,"failed",4,"US",175
"30",61436470,"Vela Kurv","Fiction","Publishing","USD",2013-04-19 23:00:37,6500,2013-03-20 22:00:37,286,"failed",9,"US",286
"31",729696804,"Real Art Magazine","Art Books","Publishing","USD",2015-05-03 07:05:30,3000,2015-04-03 07:05:30,1,"failed",1,"US",1
"32",1606322584,"""Less Than Home""","Documentary","Film & Video","USD",2016-08-27 02:44:28,500,2016-07-28 02:44:28,47,"failed",5,"US",0
"33",1660700317,"Lovington Il. Mini Mart","Small Batch","Food","USD",2014-11-01 05:55:00,125000,2014-09-30 16:23:02,0,"failed",0,"US",0
"34",170992019,"Meeting Mapper","Apps","Technology","USD",2014-09-03 21:42:58,250000,2014-08-04 21:42:58,30,"failed",1,"US",30
"35",2094627040,"Amanda Jean & Tangerine: The Slumber Party","Children's Books","Publishing","USD",2012-10-12 19:37:50,6000,2012-08-13 19:37:50,200,"failed",3,"US",200
"36",686657838,"A Way Home: A Feature Length Documentary","Documentary","Film & Video","USD",2011-01-01 05:59:00,12000,2010-11-22 02:13:27,3266,"failed",27,"US",3266
"37",442962780,"UNDECIDED (DC) 7"" vinyl release","Indie Rock","Music","USD",2013-04-03 05:58:37,4000,2013-03-04 05:58:37,2416.23,"failed",40,"US",2416.23
"38",1306709807,"PUBLISH A BOOK OF VICTIMS OF TERRORISM IN KENYA (VTOK)","Publishing","Publishing","USD",2012-09-15 15:28:00,20000,2012-07-26 18:43:49,30,"failed",2,"US",30
"39",1834034453,"Watermen - Lifeguard/Surf Documentary","Documentary","Film & Video","USD",2011-01-15 06:13:12,2500,2010-12-14 06:13:12,0,"failed",0,"US",0
"40",532575616,"Tune Up Your Teaching & Turn On Student Learning","Nonfiction","Publishing","USD",2014-07-09 02:30:44,7545,2014-06-04 02:30:44,326,"failed",10,"US",326
"41",1755665082,"Yeezy Inspired Sneaker Slippers","Footwear","Fashion","USD",2016-01-28 22:43:35,6000,2015-12-29 22:43:35,1841,"failed",52,"US",1841
"42",1461667441,"Chronic Jerky® 100% Quality Natural Wood Smoked Beef Jerky","Small Batch","Food","USD",2014-08-31 23:16:50,1800,2014-08-21 23:16:50,1096,"failed",40,"US",1096
"43",1388454526,"Pristine Gluten Free Dog Biscotti Treats","Food","Food","USD",2014-11-27 12:00:09,35000,2014-09-28 12:00:09,475,"failed",9,"US",475
"44",1014883524,"Kim Jordan: Uncommon","Music","Music","USD",2012-04-04 06:00:00,17000,2012-02-29 03:02:45,3926,"failed",45,"US",3926
"45",1465231964,"Non-fiction stories","Nonfiction","Publishing","USD",2013-03-13 19:21:00,3e+05,2013-01-25 02:50:31,300,"failed",2,"US",300
"46",1135153445,"Adventures in the Shadows","Animation","Film & Video","USD",2014-01-23 23:34:07,10000,2013-12-09 23:34:07,1636,"failed",25,"US",1636
"47",1102686267,"The Incredible Flamin' Groovies Movie","Documentary","Film & Video","USD",2014-05-10 19:19:24,69500,2014-03-11 18:19:24,19375,"failed",137,"US",19375
"48",518026691,"The Jeffrey Suite","Restaurants","Food","USD",2014-08-29 20:30:26,50000,2014-07-30 20:30:26,20,"failed",1,"US",20
"49",1137453553,"Trench Coat ""Solar Flare"" Debut Album Release Party","R&B","Music","USD",2015-07-10 06:59:00,600,2015-06-26 10:24:44,0,"failed",0,"US",0
"50",1924282119,"Liar's Trivia.  A Party Game that Will Change History","Tabletop Games","Games","USD",2015-11-06 22:44:02,5000,2015-10-07 22:44:02,1706,"failed",30,"US",1706
"51",1754983727,"Sealight Strikers: The 'Perfect Match' for Candle Lovers","Product Design","Design","USD",2011-10-10 04:29:20,8500,2011-09-10 04:29:20,216,"failed",9,"US",216
"52",1367328911,"Little Little Italy - The Food Truck (more than organic!)","Food Trucks","Food","USD",2015-03-21 18:15:50,20000,2015-02-19 19:15:50,220,"failed",7,"US",220
"53",2119623228,"Couple T-Shirts","Fashion","Fashion","USD",2013-08-01 06:39:44,5000,2013-06-17 06:39:44,2000,"failed",23,"US",2000
"54",301790900,"The Battle of Los Angeles - The True Story","Film & Video","Film & Video","USD",2011-10-19 22:16:00,25000,2011-09-19 22:16:00,25,"failed",1,"US",25
"55",951658496,"Intelligent sportswear with real-time audio coaching","Wearables","Technology","USD",2014-11-07 21:05:30,99000,2014-09-23 21:05:30,15165,"failed",65,"US",15165
"56",912399050,"Put On My Happy Face (Again)","Pop","Music","USD",2011-04-29 21:00:00,3000,2011-04-05 05:40:14,30,"failed",1,"US",30
"57",832339931,"Swell Crate is a subscription box service for surfers.","Apparel","Fashion","USD",2015-02-10 18:00:41,6500,2015-01-20 18:00:41,1311,"failed",18,"US",1311
"58",565587946,"Normandy, Google Books Scrapers and 3 Coffins","Photography","Photography","USD",2010-12-20 07:44:37,6500,2010-11-05 06:44:37,300,"failed",3,"US",300
"59",2146026569,"SMARTPHONE/TABLET WIRELESS DIGITAL MULTIMETER","Hardware","Technology","USD",2014-07-09 21:21:16,35000,2014-06-09 21:21:16,26470,"failed",459,"US",26470
"60",1044955394,"""Requiem for Butterflies""","Narrative Film","Film & Video","USD",2013-09-07 22:26:53,90000,2013-07-29 22:26:53,30,"failed",3,"US",30
"61",594854507,"TRIBE Worship Collective","Indie Rock","Music","USD",2016-06-11 06:05:56,25000,2016-05-12 06:05:56,1651,"failed",31,"US",1651
"62",1351430786,"Envisioning My Future of Love in Photography","People","Photography","USD",2014-08-08 19:22:43,3000,2014-07-09 19:22:43,0,"failed",0,"US",0
"63",1554853690,"An Unforgiving Land, Reloaded","Fiction","Publishing","USD",2012-11-04 18:41:43,1400,2012-10-05 18:41:43,982,"failed",22,"US",982
"64",129728652,"Natural, organic body care products for sensitive skin.","Crafts","Crafts","USD",2015-09-28 18:08:13,2500,2015-08-29 18:08:13,101,"failed",4,"US",101
"65",912357370,"Powerdraft Pottery Kiln","Ceramics","Art","USD",2015-08-21 03:47:38,5000,2015-07-22 03:47:38,141,"failed",4,"US",141
"66",1826807198,"Map: The Unscientific Bay Area","Graphic Design","Design","USD",2016-09-22 19:11:53,1000,2016-08-23 19:11:53,381,"failed",14,"US",105
"67",1430174444,"Yargis - Space Melee","Video Games","Games","USD",2015-04-12 17:10:55,1000,2015-03-13 16:10:55,135,"failed",5,"US",135
"68",1908062819,"Chef Po's Food Truck","Food Trucks","Food","USD",2016-01-08 23:54:35,2500,2015-11-09 23:54:35,252,"failed",6,"US",252
"69",1898909782,"Expose and stop the neofascists killing America.","Nonfiction","Publishing","USD",2015-07-01 00:49:12,10000,2015-06-01 00:49:12,0,"failed",0,"US",0
"70",817829571,"Balkan Youth Festival: Let's Hold Hands!","Art","Art","USD",2014-08-12 22:56:00,7400,2014-07-15 07:02:10,1015,"failed",15,"US",1015
"71",1247459471,"POWER BOX - Breadboard Power Supply Unit","DIY Electronics","Technology","USD",2015-04-12 04:39:27,5000,2015-02-11 04:39:27,1626,"failed",38,"US",1626
"72",990968891,"Mothership™","Video Games","Games","USD",2013-08-16 18:43:31,35000,2013-08-01 18:43:31,151,"failed",3,"US",151
"73",568117989,"Team S.M.I.L.E.","Animation","Film & Video","USD",2016-07-03 23:38:33,10000,2016-06-03 23:38:33,26,"failed",2,"US",26
"74",1787691756,"Mirror Books - Last Day!","Children's Books","Publishing","USD",2015-07-20 04:19:00,30000,2015-06-19 17:54:33,3385,"failed",34,"US",3385
"75",1998897230,"Prevent Bullying, Sexual Predators and ISIS Propaganda","Software","Technology","USD",2016-02-27 14:26:51,50000,2015-12-29 14:26:51,0,"failed",0,"US",0
"76",1775811784,"POSSIBILITIES: the new album from The Boxing Lesson","Rock","Music","USD",2010-04-20 23:20:00,5000,2010-02-17 21:56:08,10,"failed",1,"US",10
"77",1876343168,"Boys Don't Date Girls with Dead Mothers","Documentary","Film & Video","USD",2011-02-01 18:39:39,8000,2010-12-18 18:39:39,5512,"failed",78,"US",5512
